□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2023-01-01 ~ 2023-12-31,,,,실거래 구분 : 오피스텔(매매),,,,,주소구분 : 지번 주소,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산합포구,,,,,읍면동 : 전체,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
40,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",3,-,-,2009,문화동10길 10,-,직거래,-
41,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",3,-,-,2009,문화동10길 10,-,직거래,-
42,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",2,-,-,2009,문화동10길 10,-,직거래,-
43,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",3,-,-,2009,문화동10길 10,-,직거래,-
44,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,22.5900,202311,30,"4,385",2,-,-,2009,문화동10길 10,-,직거래,-
45,경상남도 창원시 마산합포구 동성동,315,0315,0000,호텔엠에스,24.5000,202311,30,"2,400",9,-,-,2006,해안대로 367,-,중개거래,경남 창원마산합포구
46,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,22.5900,202311,30,"4,385",4,-,-,2009,문화동10길 10,-,직거래,-
47,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,22.5900,202311,30,"4,385",4,-,-,2009,문화동10길 10,-,직거래,-
48,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",4,-,-,2009,문화동10길 10,-,직거래,-
49,경상남도 창원시 마산합포구 창포동3가,2-2,0002,0002,폴라리스빌,21.9500,202311,30,"4,260",4,-,-,2009,문화동10길 10,-,직거래,-
