행정동,소계,year,소계_Lag1,소계_MoM_Change,소계_변화율
가음정동,39332.0,201501,,,
가음정동,39163.0,201502,39332.0,-169.0,-0.42967558222312624
가음정동,39076.0,201503,39163.0,-87.0,-0.22214845645124226
가음정동,39103.0,201504,39076.0,27.0,0.06909612038079639
가음정동,39046.0,201505,39103.0,-57.0,-0.14576886683886145
가음정동,38994.0,201506,39046.0,-52.0,-0.13317625364954155
가음정동,38956.0,201507,38994.0,-38.0,-0.09745088988049444
가음정동,38908.0,201508,38956.0,-48.0,-0.12321593592771332
가음정동,38873.0,201509,38908.0,-35.0,-0.08995579315307906
가음정동,38845.0,201510,38873.0,-28.0,-0.07202942916677386
가음정동,38735.0,201511,38845.0,-110.0,-0.2831767280216244
가음정동,38514.0,201512,38735.0,-221.0,-0.5705434361688396
가음정동,38457.0,201601,38514.0,-57.0,-0.1479981305499299
가음정동,38331.0,201602,38457.0,-126.0,-0.32763866136204073
가음정동,38241.0,201603,38331.0,-90.0,-0.23479690068091102
가음정동,38189.0,201604,38241.0,-52.0,-0.13597970764362857
가음정동,38103.0,201605,38189.0,-86.0,-0.22519573699232762
가음정동,38089.0,201606,38103.0,-14.0,-0.036742513712831014
가음정동,38064.0,201607,38089.0,-25.0,-0.06563574785371104
가음정동,37993.0,201608,38064.0,-71.0,-0.18652795292139554
가음정동,37933.0,201609,37993.0,-60.0,-0.1579238280735925
가음정동,37873.0,201610,37933.0,-60.0,-0.1581736219123191
가음정동,37821.0,201611,37873.0,-52.0,-0.1373009795896813
가음정동,37711.0,201612,37821.0,-110.0,-0.29084371116575447
가음정동,37655.0,201701,37711.0,-56.0,-0.14849778579194398
가음정동,37499.0,201702,37655.0,-156.0,-0.414287611207011
가음정동,37389.0,201703,37499.0,-110.0,-0.2933411557641537
가음정동,37284.0,201704,37389.0,-105.0,-0.28083126053117224
가음정동,38232.0,201705,37284.0,948.0,2.5426456388799488
가음정동,39094.0,201706,38232.0,862.0,2.2546557857292324
가음정동,39567.0,201707,39094.0,473.0,1.2099043331457513
가음정동,40170.0,201708,39567.0,603.0,1.5239972704526499
가음정동,40824.0,201709,40170.0,654.0,1.6280806572068707
가음정동,41287.0,201710,40824.0,463.0,1.1341367822849304
가음정동,41419.0,201711,41287.0,132.0,0.319713226923729
가음정동,41565.0,201712,41419.0,146.0,0.352495231656969
가음정동,42149.0,201801,41565.0,584.0,1.4050282689763023
가음정동,43224.0,201802,42149.0,1075.0,2.5504756933735084
가음정동,43665.0,201803,43224.0,441.0,1.0202665186007773
가음정동,43860.0,201804,43665.0,195.0,0.4465819306080384
가음정동,44001.0,201805,43860.0,141.0,0.32147742818057456
가음정동,44018.0,201806,44001.0,17.0,0.03863548555714643
가음정동,44046.0,201807,44018.0,28.0,0.06361034122404471
가음정동,44032.0,201808,44046.0,-14.0,-0.03178495209553648
가음정동,44078.0,201809,44032.0,46.0,0.10446947674418604
가음정동,44051.0,201810,44078.0,-27.0,-0.06125504786968556
가음정동,44095.0,201811,44051.0,44.0,0.09988422510272185
가음정동,44038.0,201812,44095.0,-57.0,-0.12926635672978795
가음정동,43966.0,201901,44038.0,-72.0,-0.16349516326808666
가음정동,43894.0,201902,43966.0,-72.0,-0.16376290770140564
가음정동,43798.0,201903,43894.0,-96.0,-0.21870870734041098
가음정동,43713.0,201904,43798.0,-85.0,-0.19407278871181333
가음정동,43585.0,201905,43713.0,-128.0,-0.29281906984192346
가음정동,43467.0,201906,43585.0,-118.0,-0.27073534472869104
가음정동,43283.0,201907,43467.0,-184.0,-0.4233096371960338
가음정동,42826.0,201908,43283.0,-457.0,-1.055841785458494
가음정동,43091.0,201909,42826.0,265.0,0.6187829823004717
가음정동,43078.0,201910,43091.0,-13.0,-0.03016871272423476
가음정동,43028.0,201911,43078.0,-50.0,-0.11606852685825712
가음정동,42868.0,201912,43028.0,-160.0,-0.3718508877939946
가음정동,42687.0,202001,42868.0,-181.0,-0.42222636931977237
가음정동,42407.0,202002,42687.0,-280.0,-0.6559374048305104
가음정동,42294.0,202003,42407.0,-113.0,-0.2664654420260806
가음정동,42213.0,202004,42294.0,-81.0,-0.19151652716697404
가음정동,42137.0,202005,42213.0,-76.0,-0.1800393243787459
가음정동,42026.0,202006,42137.0,-111.0,-0.263426442319102
가음정동,41922.0,202007,42026.0,-104.0,-0.24746585447104172
가음정동,41841.0,202008,41922.0,-81.0,-0.19321597252039502
가음정동,41760.0,202009,41841.0,-81.0,-0.19359001935900194
가음정동,41662.0,202010,41760.0,-98.0,-0.23467432950191572
가음정동,41613.0,202011,41662.0,-49.0,-0.11761317267533963
가음정동,41530.0,202012,41613.0,-83.0,-0.19945690048782833
가음정동,41425.0,202101,41530.0,-105.0,-0.2528292800385264
가음정동,41314.0,202102,41425.0,-111.0,-0.267954133977067
가음정동,41206.0,202103,41314.0,-108.0,-0.2614125962143583
가음정동,41137.0,202104,41206.0,-69.0,-0.16745134203756734
가음정동,41015.0,202105,41137.0,-122.0,-0.29656999781218857
가음정동,40966.0,202106,41015.0,-49.0,-0.11946848713885164
가음정동,40961.0,202107,40966.0,-5.0,-0.012205243372552849
가음정동,40881.0,202108,40961.0,-80.0,-0.19530773174483046
가음정동,40791.0,202109,40881.0,-90.0,-0.22015117047038965
가음정동,40732.0,202110,40791.0,-59.0,-0.14463974896423232
가음정동,40659.0,202111,40732.0,-73.0,-0.17922026907591082
가음정동,40571.0,202112,40659.0,-88.0,-0.2164342458004378
가음정동,40538.0,202201,40571.0,-33.0,-0.08133888738261319
가음정동,40359.0,202202,40538.0,-179.0,-0.4415610044896147
가음정동,40262.0,202203,40359.0,-97.0,-0.24034292227260337
가음정동,40117.0,202204,40262.0,-145.0,-0.36014107595251105
가음정동,40049.0,202205,40117.0,-68.0,-0.16950420021437296
가음정동,39966.0,202206,40049.0,-83.0,-0.20724612349871407
가음정동,39960.0,202207,39966.0,-6.0,-0.015012760846719713
가음정동,39921.0,202208,39960.0,-39.0,-0.09759759759759759
가음정동,39888.0,202209,39921.0,-33.0,-0.0826632599383783
가음정동,39875.0,202210,39888.0,-13.0,-0.032591255515443236
가음정동,39898.0,202211,39875.0,23.0,0.05768025078369906
가음정동,39897.0,202212,39898.0,-1.0,-0.002506391297809414
가음정동,39872.0,202301,39897.0,-25.0,-0.06266135298393363
가음정동,39778.0,202302,39872.0,-94.0,-0.23575441412520062
가음정동,39582.0,202303,39778.0,-196.0,-0.49273467745990246
가음정동,39384.0,202304,39582.0,-198.0,-0.5002273760800363
가음정동,39227.0,202305,39384.0,-157.0,-0.3986390412350193
가음정동,39114.0,202306,39227.0,-113.0,-0.28806689270145563
가음정동,39006.0,202307,39114.0,-108.0,-0.2761159687068569
가음정동,38950.0,202308,39006.0,-56.0,-0.14356765625801157
가음정동,38871.0,202309,38950.0,-79.0,-0.20282413350449294
가음정동,38755.0,202310,38871.0,-116.0,-0.29842298886059015
가음정동,38652.0,202311,38755.0,-103.0,-0.2657721584311702
가음정동,38632.0,202312,38652.0,-20.0,-0.0517437648763324
가음정동,38555.0,202401,38632.0,-77.0,-0.19931662870159456
가음정동,38450.0,202402,38555.0,-105.0,-0.27233821812994424
가음정동,38345.0,202403,38450.0,-105.0,-0.27308192457737324
가음정동,38291.0,202404,38345.0,-54.0,-0.14082670491589516
가음정동,38245.0,202405,38291.0,-46.0,-0.12013266825102506
가음정동,38110.0,202406,38245.0,-135.0,-0.35298731860373905
가음정동,38046.0,202407,38110.0,-64.0,-0.16793492521647863
가음정동,38054.0,202408,38046.0,8.0,0.021027177627083005
가음정동,38040.0,202409,38054.0,-14.0,-0.03678982498554685
가음정동,37968.0,202410,38040.0,-72.0,-0.1892744479495268
가음정동,37926.0,202411,37968.0,-42.0,-0.11061946902654868
가음정동,37938.0,202412,37926.0,12.0,0.031640563202025
가음정동,37928.0,202501,37938.0,-10.0,-0.02635879593020191
가음정동,37760.0,202502,37928.0,-168.0,-0.44294452647120863
가음정동,37623.0,202503,37760.0,-137.0,-0.3628177966101695
가음정동,37568.0,202504,37623.0,-55.0,-0.14618717274007922
가음정동,38285.0,202505,37568.0,717.0,1.9085391822827937
가음정동,38869.0,202506,38285.0,584.0,1.525401593313308
가음정동,39095.0,202507,38869.0,226.0,0.5814402222851115
가음정동,39174.0,202508,39095.0,79.0,0.20207187619900244
반송동,48595.0,201501,,,
반송동,48542.0,201502,48595.0,-53.0,-0.10906471859244778
반송동,48465.0,201503,48542.0,-77.0,-0.15862552016810183
반송동,48467.0,201504,48465.0,2.0,0.004126689363458166
반송동,48498.0,201505,48467.0,31.0,0.06396104565993356
반송동,48497.0,201506,48498.0,-1.0,-0.0020619406985855084
반송동,48459.0,201507,48497.0,-38.0,-0.0783553621873518
반송동,48393.0,201508,48459.0,-66.0,-0.1361976103510184
반송동,48415.0,201509,48393.0,22.0,0.04546112040997665
반송동,48367.0,201510,48415.0,-48.0,-0.0991428276360632
반송동,48281.0,201511,48367.0,-86.0,-0.17780718258316622
반송동,48089.0,201512,48281.0,-192.0,-0.39767196205546695
반송동,48002.0,201601,48089.0,-87.0,-0.18091455426396888
반송동,48021.0,201602,48002.0,19.0,0.03958168409649598
반송동,47982.0,201603,48021.0,-39.0,-0.0812144686699569
반송동,47924.0,201604,47982.0,-58.0,-0.1208786628318953
반송동,47853.0,201605,47924.0,-71.0,-0.14815123946248226
반송동,47789.0,201606,47853.0,-64.0,-0.1337429210289846
반송동,47769.0,201607,47789.0,-20.0,-0.04185063508338739
반송동,47820.0,201608,47769.0,51.0,0.10676380079130818
반송동,47753.0,201609,47820.0,-67.0,-0.14010874111250524
반송동,47686.0,201610,47753.0,-67.0,-0.14030532113165664
반송동,47590.0,201611,47686.0,-96.0,-0.20131694837059094
반송동,47566.0,201612,47590.0,-24.0,-0.050430762765286824
반송동,47515.0,201701,47566.0,-51.0,-0.10721944245889921
반송동,47281.0,201702,47515.0,-234.0,-0.49247606019151846
반송동,47133.0,201703,47281.0,-148.0,-0.3130221442016878
반송동,47092.0,201704,47133.0,-41.0,-0.08698788534572381
반송동,46885.0,201705,47092.0,-207.0,-0.4395651065998471
반송동,46738.0,201706,46885.0,-147.0,-0.313533112935907
반송동,46408.0,201707,46738.0,-330.0,-0.706063588514699
반송동,46115.0,201708,46408.0,-293.0,-0.6313566626443717
반송동,46024.0,201709,46115.0,-91.0,-0.19733275506884962
반송동,46025.0,201710,46024.0,1.0,0.0021727794194333393
반송동,45943.0,201711,46025.0,-82.0,-0.178164041281912
반송동,45631.0,201712,45943.0,-312.0,-0.6791023659752302
반송동,45426.0,201801,45631.0,-205.0,-0.44925598825359947
반송동,45326.0,201802,45426.0,-100.0,-0.22013824681900232
반송동,45290.0,201803,45326.0,-36.0,-0.07942461280501258
반송동,45227.0,201804,45290.0,-63.0,-0.1391035548686244
반송동,45198.0,201805,45227.0,-29.0,-0.0641209896743096
반송동,45183.0,201806,45198.0,-15.0,-0.03318730917297225
반송동,45149.0,201807,45183.0,-34.0,-0.0752495407564792
반송동,45025.0,201808,45149.0,-124.0,-0.2746461715652617
반송동,44967.0,201809,45025.0,-58.0,-0.12881732370905052
반송동,44962.0,201810,44967.0,-5.0,-0.01111926523895301
반송동,44944.0,201811,44962.0,-18.0,-0.0400338063253414
반송동,44804.0,201812,44944.0,-140.0,-0.311498754004984
반송동,44610.0,201901,44804.0,-194.0,-0.43299705383447906
반송동,44416.0,201902,44610.0,-194.0,-0.4348800717327953
반송동,44256.0,201903,44416.0,-160.0,-0.36023054755043227
반송동,44140.0,201904,44256.0,-116.0,-0.2621113521330441
반송동,44022.0,201905,44140.0,-118.0,-0.2673312188491165
반송동,43995.0,201906,44022.0,-27.0,-0.06133296987869701
반송동,43853.0,201907,43995.0,-142.0,-0.32276395044891465
반송동,43477.0,201908,43853.0,-376.0,-0.8574099833534764
반송동,43673.0,201909,43477.0,196.0,0.45081307357913375
반송동,43617.0,201910,43673.0,-56.0,-0.12822567719185768
반송동,43533.0,201911,43617.0,-84.0,-0.19258545979778527
반송동,43366.0,201912,43533.0,-167.0,-0.38361702616405946
반송동,43149.0,202001,43366.0,-217.0,-0.5003920121754369
반송동,43010.0,202002,43149.0,-139.0,-0.3221395629099168
반송동,42851.0,202003,43010.0,-159.0,-0.36968146942571495
반송동,42839.0,202004,42851.0,-12.0,-0.028004013908660242
반송동,42742.0,202005,42839.0,-97.0,-0.22642918835640422
반송동,42651.0,202006,42742.0,-91.0,-0.21290533901080905
반송동,42607.0,202007,42651.0,-44.0,-0.10316288012004407
반송동,42525.0,202008,42607.0,-82.0,-0.19245663858051495
반송동,42435.0,202009,42525.0,-90.0,-0.21164021164021166
반송동,42407.0,202010,42435.0,-28.0,-0.06598326852833745
반송동,42294.0,202011,42407.0,-113.0,-0.2664654420260806
반송동,42161.0,202012,42294.0,-133.0,-0.3144654088050315
반송동,42051.0,202101,42161.0,-110.0,-0.26090462749934773
반송동,41961.0,202102,42051.0,-90.0,-0.21402582578297782
반송동,41737.0,202103,41961.0,-224.0,-0.5338290317199303
반송동,41708.0,202104,41737.0,-29.0,-0.0694827131801519
반송동,41652.0,202105,41708.0,-56.0,-0.13426680732713148
반송동,41616.0,202106,41652.0,-36.0,-0.08643042350907519
반송동,41602.0,202107,41616.0,-14.0,-0.03364090734332949
반송동,41529.0,202108,41602.0,-73.0,-0.17547233306091053
반송동,41436.0,202109,41529.0,-93.0,-0.22393989742107925
반송동,41346.0,202110,41436.0,-90.0,-0.2172024326672459
반송동,41289.0,202111,41346.0,-57.0,-0.13786097808736034
반송동,41246.0,202112,41289.0,-43.0,-0.10414396086124633
반송동,41173.0,202201,41246.0,-73.0,-0.176986859331814
