시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,NO,매수자,매도자,해제사유발생일,거래유형,중개사소재지
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",6,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",5,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,22.67,201702,15,"         3,000",4,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",10,2005.0,남의로 115,,,,,,
경상남도 창원진해구 두동,1121,1121,0,진해수성,27.45,201702,15,"         3,600",9,2005.0,남의로 115,,,,,,
