□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20180701 ~ 20190630,,,,,,,,,,,
실거래 구분 : 오피스텔(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,
시군구 : 창원마산회원구,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,78-5,78,5,더 마크원 오피스텔,36.02,201808,28,"        15,001",10,2018, 
경상남도 창원마산회원구 구암동,78-5,78,5,더 마크원 오피스텔,33.54,201903,19,"        12,000",9,2018, 
경상남도 창원마산회원구 구암동,90-23,90,23,동남프라자,32.54,201807,31,"         5,400",4,2005,3·15대로 954
경상남도 창원마산회원구 내서읍 상곡리,159,159,0,광민빌라,73.55,201810,22,"        16,000",1,2015,상곡로 94
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,26.88,201811,6,"         4,947",2,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,26.88,201811,6,"         4,947",4,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,26.88,201811,6,"         4,947",4,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,26.88,201811,6,"         4,947",4,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,26.88,201811,6,"         4,947",4,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,26.88,201811,6,"         4,947",4,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,28.02,201811,6,"         5,141",2,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,28.02,201811,6,"         5,141",2,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,28.02,201811,6,"         5,141",2,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,26.88,201811,6,"         4,947",2,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,26.88,201811,6,"         4,947",2,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 중리,794-4,794,4,팔래스 오피스텔,26.88,201901,20,"         6,600",3,2013,죽암로 77-13
경상남도 창원마산회원구 내서읍 호계리,768-11,768,11,경상오피스텔,58.37,201904,12,"         9,300",3,2015, 
경상남도 창원마산회원구 내서읍 호계리,296,296,0,내서 신화하니엘 더시티,50.93,201901,10,"        13,000",13,,호원로 223
경상남도 창원마산회원구 내서읍 호계리,296,296,0,내서 신화하니엘 더시티,50.93,201901,15,"        16,500",5,,호원로 223
경상남도 창원마산회원구 석전동,222-8,222,8,	(222-8)	,70.58,201906,21,"         6,500",4,2000,석전동15길 39
