시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산회원구 구암동,90-23,90,23,동남프라자,32.54,201502,11,"         4,500",4,2005,3·15대로 954
경상남도 창원마산회원구 구암동,90-23,90,23,동남프라자,32.54,201505,18,"         5,000",4,2005,3·15대로 954
경상남도 창원마산회원구 내서읍 상곡리,159,159,0,광민빌라,76.74,201504,1,"        16,250",1,2015,상곡로 94
경상남도 창원마산회원구 내서읍 상곡리,159,159,0,광민빌라,73.55,201504,6,"        15,600",1,2015,상곡로 94
경상남도 창원마산회원구 석전동,222-8,222,8,	(222-8)	,30.97,201501,21,"         4,000",4,2000,석전동15길 39
경상남도 창원마산회원구 석전동,245-1,245,1,보양엠비션빌,22.8,201504,15,"         4,200",5,2004,양덕서8길 6
경상남도 창원마산회원구 석전동,245-1,245,1,보양엠비션빌,22.8,201504,15,"         4,200",4,2004,양덕서8길 6
경상남도 창원마산회원구 양덕동,174-48,174,48,동원에코빌,43.45,201502,16,"        12,200",8,2013,양덕로 13
경상남도 창원마산회원구 양덕동,174-48,174,48,동원에코빌,30.19,201503,24,"         7,335",4,2013,양덕로 13
경상남도 창원마산회원구 양덕동,153-14,153,14,리첸시아,22.68,201501,6,"         1,800",6,2003,봉양로 13
경상남도 창원마산회원구 양덕동,153-14,153,14,리첸시아,22.68,201501,27,"         3,500",5,2003,봉양로 13
경상남도 창원마산회원구 양덕동,153-14,153,14,리첸시아,31.5,201503,4,"         5,700",5,2003,봉양로 13
경상남도 창원마산회원구 양덕동,153-14,153,14,리첸시아,22.68,201505,7,"         4,250",9,2003,봉양로 13
경상남도 창원마산회원구 양덕동,153-5,153,5,비전 스카이,33.23,201506,13,"         8,900",11,2005,해안대로 607
경상남도 창원마산회원구 양덕동,95-29,95,29,성락오피스텔,23.4,201504,14,"         4,700",4,2004,양덕북4길 56
경상남도 창원마산회원구 양덕동,12-18,12,18,신우오피스텔,31.08,201502,3,"         4,000",4,2003,합성옛길 37-3
경상남도 창원마산회원구 회원동,68-4,68,4,신안 시티텔,25.9,201502,5,"         3,200",7,2002,3·15대로 488
